Title,Description
Interstellar,"A team of explorers travel through a wormhole in space to ensure humanity's survival."
Guardians of the Galaxy,"A group of intergalactic criminals must pull together to stop a fanatical warrior from taking control of the universe."
The Martian,"An astronaut is left behind on Mars and must rely on his ingenuity to survive."
Star Wars: A New Hope,"A young farm boy joins a rebel alliance to destroy a space station controlled by an evil empire."
Gravity,"Two astronauts struggle to survive after their space shuttle is destroyed."
Avengers: Endgame,"The Avengers assemble once more in order to reverse Thanos' actions and restore balance to the universe."
The Dark Knight,"When the menace known as the Joker emerges from his mysterious past, he creates chaos in Gotham City."
Inception,"A thief who enters the dreams of others to steal secrets is given a chance to have his past crimes forgiven."
Mad Max: Fury Road,"In a post-apocalyptic wasteland, a woman rebels against a tyrannical ruler in search of her homeland."
Deadpool,"A wisecracking mercenary is subjected to an experiment that leaves him with accelerated healing powers."
